director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
"Rich Moore, Phil Johnston",John C. Reilly,John C. Reilly,John C. Reilly,Family Animation Comedy Adventure,Ralph Breaks the Internet
Steven Caple Jr.,Michael B. Jordan,Michael B. Jordan,Michael B. Jordan,Drama,Creed II
Peter Farrelly,Viggo Mortensen,Viggo Mortensen,Viggo Mortensen,Drama Comedy,Green Book
Otto Bathurst,Taron Egerton,Taron Egerton,Taron Egerton,Adventure Action Thriller,Robin Hood
Alfonso Cuarón,Yalitza Aparicio,Yalitza Aparicio,Yalitza Aparicio,Drama,Roma
Yorgos Lanthimos,Olivia Colman,Olivia Colman,Olivia Colman,Drama History Comedy,The Favourite
Andy Serkis,Rohan Chand,Rohan Chand,Rohan Chand,Adventure Drama,Mowgli: Legend of the Jungle
Diederik van Rooijen,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,Horror Drama,The Possession of Hannah Grace
John McPhail,Ella Hunt,Ella Hunt,Ella Hunt,Horror Comedy Fantasy,Anna and the Apocalypse
Nadine Labaki,Zain Al Rafeea,Zain Al Rafeea,Zain Al Rafeea,Drama,Capernaum
Josie Rourke,Saoirse Ronan,Saoirse Ronan,Saoirse Ronan,Drama History,Mary Queen of Scots
Peter Hedges,Lucas Hedges,Lucas Hedges,Lucas Hedges,Drama,Ben Is Back
"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Shameik Moore,Shameik Moore,Action Adventure Animation Science Fiction Comedy,Spider-Man: Into the Spider-Verse
Christian Rivers,Hugo Weaving,Hugo Weaving,Hugo Weaving,Adventure Fantasy,Mortal Engines
Clint Eastwood,Clint Eastwood,Clint Eastwood,Clint Eastwood,Crime Drama Thriller,The Mule
Barry Jenkins,Kiki Layne,Kiki Layne,Kiki Layne,Drama Romance,If Beale Street Could Talk
Rob Marshall,Emily Blunt,Emily Blunt,Emily Blunt,Fantasy Family Comedy,Mary Poppins Returns
James Wan,Jason Momoa,Jason Momoa,Jason Momoa,Action Adventure Fantasy,Aquaman
Travis Knight,Hailee Steinfeld,Hailee Steinfeld,Hailee Steinfeld,Action Adventure Science Fiction,Bumblebee
Robert Zemeckis,Steve Carell,Steve Carell,Steve Carell,Drama Comedy Fantasy,Welcome to Marwen
Peter Segal,Jennifer Lopez,Jennifer Lopez,Jennifer Lopez,Romance Comedy,Second Act
Paweł Pawlikowski,Joanna Kulig,Joanna Kulig,Joanna Kulig,Comedy Romance,Cold War
Etan Cohen,Will Ferrell,Will Ferrell,Will Ferrell,Mystery Adventure Comedy Crime,Holmes & Watson
Adam McKay,Christian Bale,Christian Bale,Christian Bale,Drama History Comedy,Vice
Mimi Leder,Felicity Jones,Felicity Jones,Felicity Jones,Drama History,On the Basis of Sex
Karyn Kusama,Nicole Kidman,Nicole Kidman,Nicole Kidman,Thriller Crime Drama Action,Destroyer
David Slade,Fionn Whitehead,Fionn Whitehead,Fionn Whitehead,Science Fiction Mystery Drama Thriller TV Movie,Black Mirror: Bandersnatch
