director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,snow white and the huntsman,English,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy
Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,maleficent,English,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance
Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,dawn of the planet of the apes,English,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi
Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,47 ronin,English,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy
Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,captain america: the winter soldier,English,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi
Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,shrek forever after,English,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy
Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,tomorrowland,English,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi
Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,big hero 6,English,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,wreck-it ralph,English,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,the polar express,English,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy
Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,independence day: resurgence,English,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi
Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,how to train your dragon,English,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy
Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,terminator 3: rise of the machines,English,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi
James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,guardians of the galaxy,English,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi
Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,interstellar,English,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi
Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,inception,English,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller
Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,the hobbit: an unexpected journey,English,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,the curious case of benjamin button,English,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance
Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,x-men: first class,English,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi
Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 2,English,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi
Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,the sorcerer's apprentice,English,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy
Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,poseidon,English,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller
James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,alice through the looking glass,English,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy
Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,shrek the third,English,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy
Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,warcraft,English,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy
Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,terminator genisys,English,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi
