director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
Jake Kasdan,Comedy Music,Tim Meadows,Nat Faxon,Matt Price,walk hard: the dewey cox story,English,Tim Meadows Nat Faxon Matt Price Jake Kasdan Comedy Music
Lasse Hallström,Drama,Kevin Spacey,Scott Glenn,Jason Behr,the shipping news,English,Kevin Spacey Scott Glenn Jason Behr Lasse Hallström Drama
Les Mayfield,Action Western,Gregory Smith,Ronny Cox,Harris Yulin,american outlaws,English,Gregory Smith Ronny Cox Harris Yulin Les Mayfield Action Western
Jean-Marc Vallée,Biography Drama History Romance,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,the young victoria,English,Michiel Huisman Jim Broadbent Thomas Kretschmann Jean-Marc Vallée Biography Drama History Romance
Dominic Sena,Action Crime Mystery Thriller,Tom Skerritt,Bashar Rahal,Shawn Doyle,whiteout,English,Tom Skerritt Bashar Rahal Shawn Doyle Dominic Sena Action Crime Mystery Thriller
Terrence Malick,Drama Fantasy,Brad Pitt,Tye Sheridan,Fiona Shaw,the tree of life,English,Brad Pitt Tye Sheridan Fiona Shaw Terrence Malick Drama Fantasy
Hark Tsui,Action Comedy Thriller,Paul Sorvino,Lela Rochon,Ray Nicholas,knock off,English,Paul Sorvino Lela Rochon Ray Nicholas Hark Tsui Action Comedy Thriller
Brian Helgeland,Action Mystery Thriller,Heath Ledger,Mark Addy,Benno Fürmann,the order,English,Heath Ledger Mark Addy Benno Fürmann Brian Helgeland Action Mystery Thriller
Lexi Alexander,Action Crime Drama Thriller,Julie Benz,Wayne Knight,Colin Salmon,punisher: war zone,English,Julie Benz Wayne Knight Colin Salmon Lexi Alexander Action Crime Drama Thriller
Peter Hewitt,Action Adventure Family Sci-Fi,Kevin Zegers,Rip Torn,Thomas F. Wilson,zoom,English,Kevin Zegers Rip Torn Thomas F. Wilson Peter Hewitt Action Adventure Family Sci-Fi
Robert Zemeckis,Adventure Biography Drama Thriller,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,the walk,English,Joseph Gordon-Levitt Soleyman Pierini Jade Kindar-Martin Robert Zemeckis Adventure Biography Drama Thriller
Ronny Yu,Action Adventure Fantasy,Marley Shelton,Lee Arenberg,Angus Macfadyen,warriors of virtue,English,Marley Shelton Lee Arenberg Angus Macfadyen Ronny Yu Action Adventure Fantasy
Ridley Scott,Comedy Drama Romance,Archie Panjabi,Albert Finney,Richard Coyle,a good year,English,Archie Panjabi Albert Finney Richard Coyle Ridley Scott Comedy Drama Romance
unknown,Crime Drama Mystery Thriller,Ruth Wilson,Indira Varma,Warren Brown,luther            ,English,Ruth Wilson Indira Varma Warren Brown unknown Crime Drama Mystery Thriller
Richard Donner,Drama,Adam Baldwin,Thomas Ian Nicholas,John Heard,radio flyer,English,Adam Baldwin Thomas Ian Nicholas John Heard Richard Donner Drama
Taylor Hackford,Crime Drama,Delroy Lindo,Jesse Borrego,Raymond Cruz,"blood in, blood out",English,Delroy Lindo Jesse Borrego Raymond Cruz Taylor Hackford Crime Drama
Bille August,Action Drama Sci-Fi Thriller,Jim Broadbent,Tom Wilkinson,Julia Ormond,smilla's sense of snow,English,Jim Broadbent Tom Wilkinson Julia Ormond Bille August Action Drama Sci-Fi Thriller
Brian De Palma,Crime Drama Mystery Thriller,Peter Coyote,Gregg Henry,Rie Rasmussen,femme fatale,English,Peter Coyote Gregg Henry Rie Rasmussen Brian De Palma Crime Drama Mystery Thriller
Moustapha Akkad,Biography Drama History War,Oliver Reed,Rod Steiger,John Gielgud,lion of the desert,English,Oliver Reed Rod Steiger John Gielgud Moustapha Akkad Biography Drama History War
Jean-Paul Rappeneau,Adventure Drama Romance War,Olivier Martinez,François Cluzet,Isabelle Carré,the horseman on the roof,French,Olivier Martinez François Cluzet Isabelle Carré Jean-Paul Rappeneau Adventure Drama Romance War
Ang Lee,Drama Romance War Western,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,ride with the devil,English,Jeremy W. Auman Jeffrey Dover Tobey Maguire Ang Lee Drama Romance War Western
Alejandro G. Iñárritu,Drama,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,biutiful,Spanish,Maricel Álvarez Hanaa Bouchaib Eduard Fernández Alejandro G. Iñárritu Drama
Joachim Rønning,Action Comedy Crime Western,Salma Hayek,Sam Shepard,Dwight Yoakam,bandidas,English,Salma Hayek Sam Shepard Dwight Yoakam Joachim Rønning Action Comedy Crime Western
Tony Kaye,Crime Drama,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,black water transit,English,Bill Cobbs Aisha Tyler Beverly D'Angelo Tony Kaye Crime Drama
Wes Ball,Action Mystery Sci-Fi Thriller,Ki Hong Lee,Aml Ameen,Jacob Latimore,the maze runner,English,Ki Hong Lee Aml Ameen Jacob Latimore Wes Ball Action Mystery Sci-Fi Thriller
Ken Scott,Comedy,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,unfinished business,English,Tom Wilkinson June Diane Raphael Melissa McMeekin Ken Scott Comedy
Martin Scorsese,Drama Romance,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,the age of innocence,English,Richard E. Grant Geraldine Chaplin Stuart Wilson Martin Scorsese Drama Romance
Darren Aronofsky,Drama Sci-Fi,Hugh Jackman,Ellen Burstyn,Mark Margolis,the fountain,English,Hugh Jackman Ellen Burstyn Mark Margolis Darren Aronofsky Drama Sci-Fi
Hugh Johnson,Action Adventure Comedy Drama Thriller,David Paymer,Kevin J. O'Connor,Hudson Leick,chill factor,English,David Paymer Kevin J. O'Connor Hudson Leick Hugh Johnson Action Adventure Comedy Drama Thriller
Simon West,Action Crime Drama Thriller,Nicolas Cage,Mark Valley,Sami Gayle,stolen,English,Nicolas Cage Mark Valley Sami Gayle Simon West Action Crime Drama Thriller
Hayao Miyazaki,Adventure Animation Family Fantasy,Rumi Hiiragi,Yûki Amami,Yuria Nara,ponyo,Japanese,Rumi Hiiragi Yûki Amami Yuria Nara Hayao Miyazaki Adventure Animation Family Fantasy
George Tillman Jr.,Drama Romance,Tiago Riani,Melissa Benoist,Hayley Lovitt,the longest ride,English,Tiago Riani Melissa Benoist Hayley Lovitt George Tillman Jr. Drama Romance
Hugh Hudson,Adventure Drama Romance,Liam Aiken,Eva Marie Saint,Vincent Perez,i dreamed of africa,English,Liam Aiken Eva Marie Saint Vincent Perez Hugh Hudson Adventure Drama Romance
Gabriele Muccino,Comedy Romance Sport,Gerard Butler,Dennis Quaid,Judy Greer,playing for keeps,English,Gerard Butler Dennis Quaid Judy Greer Gabriele Muccino Comedy Romance Sport
Justin Chadwick,Biography Drama History,Terry Pheto,Fana Mokoena,Tony Kgoroge,mandela: long walk to freedom,English,Terry Pheto Fana Mokoena Tony Kgoroge Justin Chadwick Biography Drama History
Warren Beatty,Biography Drama History Romance,Paul Sorvino,Warren Beatty,M. Emmet Walsh,reds,English,Paul Sorvino Warren Beatty M. Emmet Walsh Warren Beatty Biography Drama History Romance
Rob Reiner,Drama Thriller,Tom Cruise,Demi Moore,Kevin Pollak,a few good men,English,Tom Cruise Demi Moore Kevin Pollak Rob Reiner Drama Thriller
Andrzej Bartkowiak,Action Comedy Crime Drama Thriller,Michael Jai White,Bill Duke,Bruce McGill,exit wounds,English,Michael Jai White Bill Duke Bruce McGill Andrzej Bartkowiak Action Comedy Crime Drama Thriller
Raja Gosnell,Action Comedy Crime,Nia Long,Cedric the Entertainer,Tichina Arnold,big momma's house,English,Nia Long Cedric the Entertainer Tichina Arnold Raja Gosnell Action Comedy Crime
Jeremy Degruson,Adventure Animation Comedy Family Fantasy,Kyle Hebert,Brianne Brozey,Joe Ochman,thunder and the house of magic,English,Kyle Hebert Brianne Brozey Joe Ochman Jeremy Degruson Adventure Animation Comedy Family Fantasy
Chris Gorak,Action Adventure Horror Sci-Fi Thriller,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,the darkest hour,English,Max Minghella Veronika Vernadskaya Dato Bakhtadze Chris Gorak Action Adventure Horror Sci-Fi Thriller
Scott Speer,Drama Music Romance,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,step up revolution,English,Ryan Guzman Stephen Boss Misha Gabriel Hamilton Scott Speer Drama Music Romance
Joe Charbanic,Crime Horror Mystery Thriller,Keanu Reeves,Joseph Sikora,Chris Ellis,the watcher,English,Keanu Reeves Joseph Sikora Chris Ellis Joe Charbanic Crime Horror Mystery Thriller
Jonathan Hensleigh,Action Crime Drama Thriller,Laura Harring,Marco St. John,Eddie Jemison,the punisher,English,Laura Harring Marco St. John Eddie Jemison Jonathan Hensleigh Action Crime Drama Thriller
Danny Cannon,Drama Romance Sport,Sean Pertwee,Kuno Becker,Stephen Dillane,goal! the dream begins,English,Sean Pertwee Kuno Becker Stephen Dillane Danny Cannon Drama Romance Sport
Boaz Yakin,Action Crime Thriller,Jason Statham,Reggie Lee,Robert John Burke,safe,English,Jason Statham Reggie Lee Robert John Burke Boaz Yakin Action Crime Thriller
Mike Newell,Comedy Drama Romance,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,pushing tin,English,Angelina Jolie Pitt Kurt Fuller Jake Weber Mike Newell Comedy Drama Romance
Richard Marquand,Action Adventure Fantasy Sci-Fi,Harrison Ford,Ian McDiarmid,Kenny Baker,star wars: episode vi - return of the jedi,English,Harrison Ford Ian McDiarmid Kenny Baker Richard Marquand Action Adventure Fantasy Sci-Fi
Neil Marshall,Action Sci-Fi Thriller,Ryan Kruger,Jason Cope,Jeremy Crutchley,doomsday,English,Ryan Kruger Jason Cope Jeremy Crutchley Neil Marshall Action Sci-Fi Thriller
Stephen Daldry,Drama Romance,Kate Winslet,David Kross,Susanne Lothar,the reader,English,Kate Winslet David Kross Susanne Lothar Stephen Daldry Drama Romance
David Wain,Comedy,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,wanderlust,English,Justin Theroux Lauren Ambrose Joe Lo Truglio David Wain Comedy
Jon Favreau,Comedy Family Fantasy Romance,Peter Dinklage,Zooey Deschanel,Will Ferrell,elf,English,Peter Dinklage Zooey Deschanel Will Ferrell Jon Favreau Comedy Family Fantasy Romance
Jon Turteltaub,Drama Fantasy Romance Sci-Fi,Robert Duvall,Kyra Sedgwick,David Gallagher,phenomenon,English,Robert Duvall Kyra Sedgwick David Gallagher Jon Turteltaub Drama Fantasy Romance Sci-Fi
Brian Levant,Adventure Comedy Family Sport,James Coburn,Nichelle Nichols,M. Emmet Walsh,snow dogs,English,James Coburn Nichelle Nichols M. Emmet Walsh Brian Levant Adventure Comedy Family Sport
Richard Donner,Comedy Drama Fantasy,Bill Murray,Alfre Woodard,Robert Mitchum,scrooged,English,Bill Murray Alfre Woodard Robert Mitchum Richard Donner Comedy Drama Fantasy
Jared Hess,Comedy Family Sport,Ana de la Reguera,Moises Arias,Héctor Jiménez,nacho libre,English,Ana de la Reguera Moises Arias Héctor Jiménez Jared Hess Comedy Family Sport
Paul Feig,Comedy Romance,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,bridesmaids,English,Matt Lucas Wendi McLendon-Covey Steve Bannos Paul Feig Comedy Romance
Evan Goldberg,Comedy Fantasy,Channing Tatum,James Franco,Emma Watson,this is the end,English,Channing Tatum James Franco Emma Watson Evan Goldberg Comedy Fantasy
Rupert Wainwright,Horror,Nia Long,Enrico Colantoni,Portia de Rossi,stigmata,English,Nia Long Enrico Colantoni Portia de Rossi Rupert Wainwright Horror
George Tillman Jr.,Biography Drama,Robert De Niro,Charlize Theron,Michael Rapaport,men of honor,English,Robert De Niro Charlize Theron Michael Rapaport George Tillman Jr. Biography Drama
John Luessenhop,Action Crime Thriller,Paul Walker,Hayden Christensen,Jay Hernandez,takers,English,Paul Walker Hayden Christensen Jay Hernandez John Luessenhop Action Crime Thriller
Justin Zackham,Comedy,Robin Williams,Robert De Niro,Topher Grace,the big wedding,English,Robin Williams Robert De Niro Topher Grace Justin Zackham Comedy
John Whitesell,Action Comedy Crime,Brandon T. Jackson,Tony Curran,Portia Doubleday,"big mommas: like father, like son",English,Brandon T. Jackson Tony Curran Portia Doubleday John Whitesell Action Comedy Crime
Duncan Jones,Mystery Sci-Fi Thriller,Jake Gyllenhaal,Cas Anvar,Russell Peters,source code,English,Jake Gyllenhaal Cas Anvar Russell Peters Duncan Jones Mystery Sci-Fi Thriller
Frank Marshall,Adventure Biography Drama Thriller,Illeana Douglas,Danny Nucci,Michael DeLorenzo,alive,English,Illeana Douglas Danny Nucci Michael DeLorenzo Frank Marshall Adventure Biography Drama Thriller
Joel Schumacher,Mystery Thriller,Logan Lerman,Virginia Madsen,Ed Lauter,the number 23,English,Logan Lerman Virginia Madsen Ed Lauter Joel Schumacher Mystery Thriller
Jean-Pierre Jeunet,Action Adventure Drama Family,Callum Rennie,Julian Richings,Judy Davis,the young and prodigious t.s. spivet,English,Callum Rennie Julian Richings Judy Davis Jean-Pierre Jeunet Action Adventure Drama Family
Steven Spielberg,Action Comedy War,Christopher Lee,John Belushi,Treat Williams,1941,English,Christopher Lee John Belushi Treat Williams Steven Spielberg Action Comedy War
John Gatins,Drama Family Sport,Ken Howard,Freddy Rodríguez,Holmes Osborne,dreamer: inspired by a true story,English,Ken Howard Freddy Rodríguez Holmes Osborne John Gatins Drama Family Sport
David Cronenberg,Crime Drama Thriller,Viggo Mortensen,Kyle Schmid,William Hurt,a history of violence,English,Viggo Mortensen Kyle Schmid William Hurt David Cronenberg Crime Drama Thriller
Louis Leterrier,Action Crime Thriller,Jason Statham,Jason Flemyng,Matthew Modine,transporter 2,English,Jason Statham Jason Flemyng Matthew Modine Louis Leterrier Action Crime Thriller
Sam Raimi,Action Thriller Western,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,the quick and the dead,English,Leonardo DiCaprio Pat Hingle Roberts Blossom Sam Raimi Action Thriller Western
Peter Howitt,Comedy Romance,Frances Fisher,Mike Doyle,Nora Dunn,laws of attraction,English,Frances Fisher Mike Doyle Nora Dunn Peter Howitt Comedy Romance
Martin Scorsese,Drama Thriller,Nicolas Cage,Marc Anthony,Sonja Sohn,bringing out the dead,English,Nicolas Cage Marc Anthony Sonja Sohn Martin Scorsese Drama Thriller
Miguel Sapochnik,Action Crime Sci-Fi Thriller,Alice Braga,RZA,Yvette Nicole Brown,repo men,English,Alice Braga RZA Yvette Nicole Brown Miguel Sapochnik Action Crime Sci-Fi Thriller
Hyung-rae Shim,Action Drama Fantasy Horror Thriller,Robert Forster,Aimee Garcia,Chris Mulkey,dragon wars: d-war,English,Robert Forster Aimee Garcia Chris Mulkey Hyung-rae Shim Action Drama Fantasy Horror Thriller
Norman Jewison,Comedy Family Fantasy,Haley Joel Osment,Nancy Travis,Andrea Martin,bogus,English,Haley Joel Osment Nancy Travis Andrea Martin Norman Jewison Comedy Family Fantasy
Don Scardino,Comedy,Steve Buscemi,Olivia Wilde,Steve Carell,the incredible burt wonderstone,English,Steve Buscemi Olivia Wilde Steve Carell Don Scardino Comedy
Mark Dindal,Animation Comedy Family Fantasy Musical,George Kennedy,Frank Welker,Hal Holbrook,cats don't dance,English,George Kennedy Frank Welker Hal Holbrook Mark Dindal Animation Comedy Family Fantasy Musical
Tim Robbins,Drama,Bill Murray,Vanessa Redgrave,Emily Watson,cradle will rock,English,Bill Murray Vanessa Redgrave Emily Watson Tim Robbins Drama
Steven Soderbergh,Drama Mystery Thriller,Tony Curran,Beau Bridges,Leland Orser,the good german,English,Tony Curran Beau Bridges Leland Orser Steven Soderbergh Drama Mystery Thriller
Tom Reeve,Action Adventure Comedy Fantasy Romance,Joan Plowright,Rollo Weeks,Simon Callow,george and the dragon,English,Joan Plowright Rollo Weeks Simon Callow Tom Reeve Action Adventure Comedy Fantasy Romance
Francis Ford Coppola,Drama War,Harrison Ford,Marlon Brando,Robert Duvall,apocalypse now,English,Harrison Ford Marlon Brando Robert Duvall Francis Ford Coppola Drama War
Nanette Burstein,Comedy Romance,Rob Riggle,Kelli Garner,Jim Gaffigan,going the distance,English,Rob Riggle Kelli Garner Jim Gaffigan Nanette Burstein Comedy Romance
Stephen Herek,Drama Music,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,mr. holland's opus,English,Alicia Witt Olympia Dukakis Jean Louisa Kelly Stephen Herek Drama Music
Ariel Vromen,Action Crime Drama Mystery Sci-Fi Thriller,Gary Oldman,Jordi Mollà,Doug Cockle,criminal,English,Gary Oldman Jordi Mollà Doug Cockle Ariel Vromen Action Crime Drama Mystery Sci-Fi Thriller
Sydney Pollack,Biography Drama Romance,Meryl Streep,Michael Gough,Michael Kitchen,out of africa,English,Meryl Streep Michael Gough Michael Kitchen Sydney Pollack Biography Drama Romance
Robert Zemeckis,Drama Thriller,Denzel Washington,Bruce Greenwood,Nadine Velazquez,flight,English,Denzel Washington Bruce Greenwood Nadine Velazquez Robert Zemeckis Drama Thriller
Lewis Gilbert,Action Adventure Sci-Fi Thriller,Desmond Llewelyn,Lois Chiles,Lois Maxwell,moonraker,English,Desmond Llewelyn Lois Chiles Lois Maxwell Lewis Gilbert Action Adventure Sci-Fi Thriller
Wes Anderson,Adventure Comedy Crime Drama,Bill Murray,Tom Wilkinson,F. Murray Abraham,the grand budapest hotel,English,Bill Murray Tom Wilkinson F. Murray Abraham Wes Anderson Adventure Comedy Crime Drama
Scott Hicks,Drama Mystery,Anthony Hopkins,Mika Boorem,Hope Davis,hearts in atlantis,English,Anthony Hopkins Mika Boorem Hope Davis Scott Hicks Drama Mystery
Frank Marshall,Comedy Fantasy Horror Thriller,Julian Sands,Peter Jason,Brian McNamara,arachnophobia,English,Julian Sands Peter Jason Brian McNamara Frank Marshall Comedy Fantasy Horror Thriller
Gregory Hoblit,Crime Drama Mystery Sci-Fi Thriller,Dennis Quaid,Andre Braugher,Noah Emmerich,frequency,English,Dennis Quaid Andre Braugher Noah Emmerich Gregory Hoblit Crime Drama Mystery Sci-Fi Thriller
Paul Feig,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods,ghostbusters,English,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-Fi
John Francis Daley,Adventure Comedy,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,vacation,English,Chris Hemsworth Norman Reedus Beverly D'Angelo John Francis Daley Adventure Comedy
Barry Sonnenfeld,Comedy Crime Thriller,Delroy Lindo,Rene Russo,Jon Gries,get shorty,English,Delroy Lindo Rene Russo Jon Gries Barry Sonnenfeld Comedy Crime Thriller
Rob Marshall,Comedy Crime Musical,Colm Feore,Chita Rivera,Jayne Eastwood,chicago,English,Colm Feore Chita Rivera Jayne Eastwood Rob Marshall Comedy Crime Musical
Dennis Dugan,Comedy Drama,Steve Buscemi,Adam Sandler,Joey Lauren Adams,big daddy,English,Steve Buscemi Adam Sandler Joey Lauren Adams Dennis Dugan Comedy Drama
J.B. Rogers,Comedy,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,american pie 2,English,Alyson Hannigan Shannon Elizabeth Natasha Lyonne J.B. Rogers Comedy
John Lasseter,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Jim Varney,toy story,English,Tom Hanks John Ratzenberger Jim Varney John Lasseter Adventure Animation Comedy Family Fantasy
Jan de Bont,Action Adventure Crime Thriller,Keanu Reeves,Alan Ruck,Joe Morton,speed,English,Keanu Reeves Alan Ruck Joe Morton Jan de Bont Action Adventure Crime Thriller
Michael Sucsy,Drama Romance,Channing Tatum,Lucas Bryant,Dillon Casey,the vow,English,Channing Tatum Lucas Bryant Dillon Casey Michael Sucsy Drama Romance
Tom Vaughan,Drama,Harrison Ford,Brendan Fraser,Alan Ruck,extraordinary measures,English,Harrison Ford Brendan Fraser Alan Ruck Tom Vaughan Drama
Boaz Yakin,Biography Drama Sport,Ryan Gosling,Denzel Washington,Ethan Suplee,remember the titans,English,Ryan Gosling Denzel Washington Ethan Suplee Boaz Yakin Biography Drama Sport
John McTiernan,Action Adventure Thriller,Scott Glenn,Jeffrey Jones,Courtney B. Vance,the hunt for red october,English,Scott Glenn Jeffrey Jones Courtney B. Vance John McTiernan Action Adventure Thriller
Lee Daniels,Biography Drama,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,lee daniels' the butler,English,Alex Pettyfer David Oyelowo Vanessa Redgrave Lee Daniels Biography Drama
Barry Sonnenfeld,Comedy Fantasy,Anjelica Huston,Raul Julia,Carel Struycken,the addams family,English,Anjelica Huston Raul Julia Carel Struycken Barry Sonnenfeld Comedy Fantasy
Steve Oedekerk,Adventure Comedy,Bruce Spence,Bob Gunton,Sophie Okonedo,ace ventura: when nature calls,English,Bruce Spence Bob Gunton Sophie Okonedo Steve Oedekerk Adventure Comedy
Garry Marshall,Comedy Family Romance,Anne Hathaway,Hector Elizondo,Heather Matarazzo,the princess diaries,English,Anne Hathaway Hector Elizondo Heather Matarazzo Garry Marshall Comedy Family Romance
Hugh Wilson,Comedy,Stockard Channing,Elizabeth Berkley,Stephen Collins,the first wives club,English,Stockard Channing Elizabeth Berkley Stephen Collins Hugh Wilson Comedy
David Fincher,Crime Drama Mystery Thriller,Morgan Freeman,Brad Pitt,Reg E. Cathey,se7en,English,Morgan Freeman Brad Pitt Reg E. Cathey David Fincher Crime Drama Mystery Thriller
Neill Blomkamp,Action Sci-Fi Thriller,Sharlto Copley,Jed Brophy,Jason Cope,district 9,English,Sharlto Copley Jed Brophy Jason Cope Neill Blomkamp Action Sci-Fi Thriller
Stephen Hillenburg,Adventure Animation Comedy Family Fantasy,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,the spongebob squarepants movie,English,Scarlett Johansson Bill Fagerbakke Rodger Bumpass Stephen Hillenburg Adventure Animation Comedy Family Fantasy
Clint Eastwood,Crime Drama Mystery Thriller,John Doman,Spencer Treat Clark,Tom Guiry,mystic river,English,John Doman Spencer Treat Clark Tom Guiry Clint Eastwood Crime Drama Mystery Thriller
Clint Eastwood,Drama Sport,Clint Eastwood,Morgan Freeman,Mike Colter,million dollar baby,English,Clint Eastwood Morgan Freeman Mike Colter Clint Eastwood Drama Sport
Harold Ramis,Comedy Crime,Robert De Niro,Chazz Palminteri,Molly Shannon,analyze this,English,Robert De Niro Chazz Palminteri Molly Shannon Harold Ramis Comedy Crime
Nick Cassavetes,Drama Romance,Ryan Gosling,Kevin Connolly,Gena Rowlands,the notebook,English,Ryan Gosling Kevin Connolly Gena Rowlands Nick Cassavetes Drama Romance
Anne Fletcher,Comedy Romance,Judy Greer,Bern Cohen,Yetta Gottesman,27 dresses,English,Judy Greer Bern Cohen Yetta Gottesman Anne Fletcher Comedy Romance
Peter Chelsom,Comedy Drama Family Music Romance,Emily Osment,Vanessa Williams,Moises Arias,hannah montana: the movie,English,Emily Osment Vanessa Williams Moises Arias Peter Chelsom Comedy Drama Family Music Romance
Stig Bergqvist,Adventure Animation Comedy Family Romance,Elizabeth Daily,Casey Kasem,Debbie Reynolds,rugrats in paris: the movie,English,Elizabeth Daily Casey Kasem Debbie Reynolds Stig Bergqvist Adventure Animation Comedy Family Romance
Barbra Streisand,Drama Romance,George Carlin,Blythe Danner,Melinda Dillon,the prince of tides,English,George Carlin Blythe Danner Melinda Dillon Barbra Streisand Drama Romance
Edward Zwick,Drama Romance War Western,Anthony Hopkins,Brad Pitt,Julia Ormond,legends of the fall,English,Anthony Hopkins Brad Pitt Julia Ormond Edward Zwick Drama Romance War Western
Jason Reitman,Drama Romance,J.K. Simmons,Anna Kendrick,Chris Lowell,up in the air,English,J.K. Simmons Anna Kendrick Chris Lowell Jason Reitman Drama Romance
Alexander Payne,Comedy Drama,Hope Davis,June Squibb,Howard Hesseman,about schmidt,English,Hope Davis June Squibb Howard Hesseman Alexander Payne Comedy Drama
Jonathan Levine,Comedy Horror Romance,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,warm bodies,English,Cory Hardrict Vincent Leclerc Daniel Rindress-Kay Jonathan Levine Comedy Horror Romance
Rian Johnson,Action Crime Drama Sci-Fi Thriller,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,looper,English,Joseph Gordon-Levitt Bruce Willis Tracie Thoms Rian Johnson Action Crime Drama Sci-Fi Thriller
Chris Weitz,Comedy Fantasy,Chazz Palminteri,Mark Addy,Wanda Sykes,down to earth,English,Chazz Palminteri Mark Addy Wanda Sykes Chris Weitz Comedy Fantasy
Chris Noonan,Comedy Drama Family,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,babe,English,Miriam Margolyes Christine Cavanaugh Roscoe Lee Browne Chris Noonan Comedy Drama Family
David Frankel,Comedy Drama Romance,Meryl Streep,Steve Carell,Jean Smart,hope springs,English,Meryl Streep Steve Carell Jean Smart David Frankel Comedy Drama Romance
Nicholas Stoller,Comedy Drama Romance,Mila Kunis,Jack McBrayer,Maria Thayer,forgetting sarah marshall,English,Mila Kunis Jack McBrayer Maria Thayer Nicholas Stoller Comedy Drama Romance
unknown,Drama Sport,Zach Gilford,Aimee Teegarden,Scott Porter,friday night lights            ,English,Zach Gilford Aimee Teegarden Scott Porter unknown Drama Sport
John Singleton,Action Crime Drama Mystery Thriller,Josh Charles,Tony Nappo,Fionnula Flanagan,four brothers,English,Josh Charles Tony Nappo Fionnula Flanagan John Singleton Action Crime Drama Mystery Thriller
Michael McCullers,Comedy Romance,Tina Fey,Amy Poehler,Romany Malco,baby mama,English,Tina Fey Amy Poehler Romany Malco Michael McCullers Comedy Romance
Forest Whitaker,Drama Romance,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,hope floats,English,Bill Cobbs Harry Connick Jr. Gena Rowlands Forest Whitaker Drama Romance
Gary Winick,Comedy Romance,Anne Hathaway,Steve Howey,Candice Bergen,bride wars,English,Anne Hathaway Steve Howey Candice Bergen Gary Winick Comedy Romance
Steven Brill,Adventure Comedy Mystery,Antony Starr,Scott Adsit,Bonnie Somerville,without a paddle,English,Antony Starr Scott Adsit Bonnie Somerville Steven Brill Adventure Comedy Mystery
Gary Winick,Comedy Fantasy Romance,Jennifer Garner,Judy Greer,Christa B. Allen,13 going on 30,English,Jennifer Garner Judy Greer Christa B. Allen Gary Winick Comedy Fantasy Romance
Woody Allen,Comedy Fantasy Romance,Kurt Fuller,Audrey Fleurot,Nina Arianda,midnight in paris,English,Kurt Fuller Audrey Fleurot Nina Arianda Woody Allen Comedy Fantasy Romance
Peter Lepeniotis,Adventure Animation Comedy Family,Liam Neeson,Brendan Fraser,Sarah Gadon,the nut job,English,Liam Neeson Brendan Fraser Sarah Gadon Peter Lepeniotis Adventure Animation Comedy Family
Ted Demme,Biography Crime Drama,Johnny Depp,Ethan Suplee,Jordi Mollà,blow,English,Johnny Depp Ethan Suplee Jordi Mollà Ted Demme Biography Crime Drama
Luis Mandoki,Drama Romance,Robin Wright,John Savage,Raphael Sbarge,message in a bottle,English,Robin Wright John Savage Raphael Sbarge Luis Mandoki Drama Romance
William Shatner,Action Adventure Sci-Fi Thriller,Leonard Nimoy,Nichelle Nichols,Walter Koenig,star trek v: the final frontier,English,Leonard Nimoy Nichelle Nichols Walter Koenig William Shatner Action Adventure Sci-Fi Thriller
John Schultz,Comedy Family Fantasy Sport,Brenda Song,Robert Forster,Anne Meara,like mike,English,Brenda Song Robert Forster Anne Meara John Schultz Comedy Family Fantasy Sport
Peter Segal,Comedy Crime,George Kennedy,Fred Ward,Priscilla Presley,naked gun 33 1/3: the final insult,English,George Kennedy Fred Ward Priscilla Presley Peter Segal Comedy Crime
John Glen,Action Adventure Thriller,Patrick Macnee,Alison Doody,Tanya Roberts,a view to a kill,English,Patrick Macnee Alison Doody Tanya Roberts John Glen Action Adventure Thriller
